Numero da Peca,Descricao,Quantidade,Localizacao
A  5411870080,JUNTA DO RETORNO DO OLEO DA TURBINA,39,04D19
A  5411880601,REFRIGERADOR DE OLEO DO MOTOR,1,16A25
A  5411883004,LU CARCACA DO RADIADOR DO OLEO,1,ESTRADO 4
A  5412010180,JUNTA ( CONEXAO NO BLOCO DO MOTOR ),1,16E13
A  5412010280,JUNTA DA CONEXAO NA BOMBA DE AGUA,1,04A14
A  54120102800064,JUNTA DA CONEXAO NA BOMBA DE AGUA,1,04B15
A  5412030530,BOCAL DA AGUA DE REFRIGERACAO - METAL,1,27B07
A  5412301211,COMPRESSOR DO AR CONDICIONADO,1,13A06
A  5419900501,PARAFUSO(CABECOTE NO BLOCO D-ACO LIGA),12,15E31
A  5419910062,PINO-GUIA,2,07D03
A  5419970445,ANEL DE VEDACAO DE BORRCHA,1,02E06
A  5419970545,ANEL VEDACAO PORTA INJETOR,2,01E05
A  5419970645,ANEL,4,04D18
A  5419971945,ANEL VEDACAO DA CAMISA NO CILINDRO MOTOR,7,16E11
A  5421800801,CJ BOMBA DO OLEO,2,22B15
A  5422001222,LU EMBREAGEM VISCO,1,14C03
A  5422002401,BOMBA DAGUA,3,ESTRADO 5
A  5422002601,BOMBA DE AGUA,1,ESTRADO 6
A  5422010180,JUNTA(BOMBA DE AGUA NO BLOC  DO MOTOR),2,22B04
A  6110170060,"ANEL VEDACAO, FORMATO ESP",96,01C13
A  6110380050,BUCHA DA BIELA,2,02E11
A  6110706832,TUBULACAO DE COMBUSTIVEL,1,19G07
A  6111800009,"JOGO DE PECAS ,ELEMENTO",1,03C14
A  6119901322,PARAFUSO,3,15C02
A  6202680457,TAMPA DA ALAVANCA DO CAMBIO,2,20D21
A  6209970490,BRACADEIRA,1,20H05
A  6234200138,REGUL. AUTOM. DO FREIO  DIR,1,06I12
A  6234230236,EIXO S-CAMES DO FREIO DIR,1,28E04
A  6249970032,BUJAO,1,16F27
A  6283230400,AMORTECEDOR DIANTEIRO,4,14C08
A  6294930280,VEDACAO PERFILADA,51,03D17
A  6318690024,LUVA ANGULAR,2,02H13
A  63424111130097,COXIM DO MOTOR,2,12B07
A  6343230300,LU AMORTECEDOR DIANT,4,07E01
A  6344200038,REGUL. AUTOM. DO FREIO DIR/ESQ,1,16A08
A  63452802060097,FILTRO DE AR DE SEGURANCA,1,12C03
A  63452803060097,FILTRO DE AR,2,ESTRADO 6
A  6385040212,MANCAL ELASTOMERICO,5,04H17
A  6392420013,"ELEM. MANCAL, ELAST.",1,22A10
A  6395280740,SUPORTE,1,16F17
A  6395401517,SENSOR DE DESGASTE LONA,10,20E27
A  6399980185,BUCHA,50,16H04
A  6459900178,CONEXAO - LU,14,03D13
A  6459900470,CONEXAO ROSCADA DE LATAO,2,16D31
A  6459900478,CONEXAO - DISTRIBUIDOR DE AR NA CABINE,2,03B03
A  6459900578,CONEXAO DE ENC.P/AR COMPRIMIDO,1,02F04
A  6462001215,TERMOSTATO,1,SL
A  6510100169,BOCAL DE ABASTECIMENTO,1,18G11
A  6510100882,TUBO FLEXIVEL DE BORRACHA,1,18D09
A  65101603210064,JUNTA MOLDADA ELASTOMERO,1,06B12
A  6510160500,JUNTA DO CABECOTE,1,13A01
A  6510902952,FILTRO DE COMBUSTIVEL,19,28C02
A  6510903600,FILTRO DE COMBUSTIVEL,17,29A05
A  6510910260,JUNTA MOLDADA ELASTOMERO,2,02E09
A  6510910460,ANEL DE VEDACAO,87,19B12
A  6510960480,VEDACAO METALICA,2,03H07
A  6510960500,VEDACAO ESTRIAS METALICAS,1,02G09
A  6511420380,"VED. MET., VARIAS CAMADAS",2,16C21
A  6511420480,JUNTA METALICA,9,03B02 | 04F08
A  6511420580,VEDACAO,2,04G11
A  6511421280,"VED. MET., VARIAS CAMADAS",24,16I27
A  6511421880,VEDADOR COM VARIOS FUROS,1,20H02
A  6511422380,VEDACAO METALICA,13,02G06
A  6511422480,JUNTA METALICA,1,16B32
A  65115094330064,CHICOTE ELETRICO DO MOTOR,4,02B06
A  6511800109,ELEMENTO FILTRO DE OLEO,19,17C06
A  6511801310,FILTRO DE OLEO,2,28B08
A  6512000270,POLIA INVERSORA,2,04A18
A  6512000670,POLIA INVERSORA,3,20C04
A  6512000770,POLIA INVERSORA,1,23B14
A  6512001702,BOMBA DO LIQ. DE ARREFEC.,2,22F05
A  6512001870,TENSOR DA CORREIA,6,16I17
A  65120028000064,TERMOSTATO,3,23G21
A  6512006000,BOCAL SAIDA LIQ. ARREFEC.,2,19E15
A  6512010180,"VEDACAO METAL, UMA CAMADA",5,16H11
A  6512030480,JUNTA MOLDADA ELASTOMERO,1,06D11
A  65120316820097,MANGUEIRA,1,11A01
A  6519970046,RETENTOR RADIAL,1,02A05
A  6523560015,ANEL DE PRESSAO,2,22A11
A  6540102415,COBERTURA DO MOTOR,1,17F02
A  6540104115,"JOGO DE PECAS, PACOTE",8,ESTRADO 4
A  6540905500,FILTRO DE COMBUSTIVEL,17,08E03
A  6540920000,EL. FILTRAN. FILTRO COMB.,2,17C02
A  6540920200,EL. FILTRAN. FILTRO COMB.,1,28C05
A  6541801100,"JOGO DE PECAS ,ELEMENTO",2,21D01
A  6552501513,ALAVANCA DE ACIONAMENTO DA EMBREGEM-ACO,1,22F14
A  6584210001,TAMBOR DO FREIO,2,ESTRADO 0
A  6594131142,SUPORTE MANCAL CARDAN ACO,1,06E13
A  6594131242,SUPORTE,1,03I01
A  6594132342,SUPORTE,1,16E25
A  6644010071,PARAF DE FIXACAO DA RODA,1,15I07
A  6644210018,PINO DA SAPATA DO FREIO,4,16G10
A  6649813225,ROLAMENTO-REF.SKF(K-LM 11949/K-LM 11910),1,02G01
A  6649973147,RETENTOR DE BORRACHA,2,02G02
A  6672670051,ANEL DISTANCIADOR,5,19E05
A  66732601810097,MANCAL DE BORRACHA,2,11D09
A  6803530051,ANEL DISTANCIADOR,1,16C19
A  6824210074,PINO,1,02E04
A  6844200620,SAPATA DO FREIO 220MM LKW,5,ESTRADO 4
A  6882910074,PINO,1,19C04
A  6882940201,SUPORTE DO PEDAL,1,22E09
A  6883207173,CJ. BUCHA ELASTICA,1,06F03
A  68842030200097,JOGO DE PASTILHAS DE FREIO,2,11C10
A  68852884820097,MANGUEIRA DE SILICONE VERMELHA,1,11C07
A  6885447532,RELE INTERMITENTE DA LUZ DE ALERTA,3,05C01
A  6886977198,BORRACHA DE VEDACAO DA PORTA,9,ESTRADO 4
A  68872370880097,ALAVANCA,10,11E06
A  6887277017,BUCHA DE PLASTICO,10,01D04
A  6887277446,GRAMPO PLASTICO,56,16C01
A  6888207145,CONJ PALHETA,15,17C01
A  6889890098,CJ VEDACAO DA JANELA,3,17E01
A  6932400618,COXIM TRASEIRO DO MOTOR,1,23B08
A  69324006180097,COXIM TRASEIRO DO MOTOR,1,11F06
A  6932630116,ENGRENAGEM INTERMEDIARIA 6 MARCHA,1,23C07
A  6933007230,CJ CABO BOWDEN,1,30
A  6933007430,CABO   MT.ACO,1,17E09
A  69342001200097,JOGO DE PASTILHAS DE FREIO,4,11B15
A  6935537001,BOMBA HIDRAULICA DO BASCULANTE P/CABINE,1,21F21
A  6935537005,LU CILINDRO HIDRAULICO,2,30
A  6938100018,EMBLEMA MERCEDES-BENZ,5,02C04
A  6938170320,"PLAQUETA DE IDENTIFICACAO""MERCEDES-BENZ""",1,VIDROS
A  6938172115,CJ IDENTIFICACAO DO TIPO 1620,1,03H05
A  6938350047,ELEMENTO DO FILTRO,1,06G05
A  6939907088,CONEXAO,1,16E18
A  6939970172,CONEXAO,2,20E24
A  6939977036,VALVULA,1,06A13
A  6942610001,CARCACA DO CAMBIO - PARTE DIANT,1,ESTRADO 2
A  6942620023,LUVA DESLIZANTE 1./2.MARCHA,1,23B01
A  6942630002,EIXO INTERMEDIARIO,1,13A05
A  6946270002,LU REVESTIMENTO,1,SL
A  6946800407,LU PAINEL DE TECLAS SUP.,1,17E04
A  6946820628,ISOLACAO DIREITO DO TUNEL DO MOTOR,1,ESTRADO 4
A  6946827226,ISOLACAO - LU,1,30
A  6946828028,LU ISOLACAO DA PAREDE FRONTAL ESQ,1,30
A  6946980162,LU FAIXA DECORATIVA DIR,1,21C10
A  6947207004,TRAVA DA FECHADURA - LU,1,06A09
A  6947207135,CJ TRINCO DA PORTA DIREITO,1,22E03
A  6947600659,CJ. MACANETA DA PORTA ESQUERDA,1,17C07
A  6947600759,CJ. MACANETA DIREITA DA PORTA,2,23I01
A  6947607061,CJ MACANETA INT ESQUERDA,2,16B15
A  6947607144,LU CABO FLEXIVEL DIR,1,06E12
A  6947607161,CJ MACANETA INT DIREITA,13,17B01
A  6948200045,PALHETA DO LIMPDOR DE PARABRISA,6,17E02
A  6948207021,LANTERNA DO PISCA DIR S/ LAMPADAS,1,21D09
A  6948307005,DIFUSOR DE AR - LU,1,04D09
A  6948607160,LU RESERVATORIO DE AGUA,1,ESTRADO 4
A  6948800159,LU PUXADOR ESQ,1,21G21
A  6948800260,LU FECHO (PARTE INFERIOR),3,22C16
A  6949847061,PRESILHA MT.,1,20A15
A  6949940045,TRAVA DA ISOLACAO,8,04A19
A  6952500101,JOGO DE PECAS DA EMBREAGEM - ACO,1,ESTRADO 5
A  69526015000030,CAMBIO G 85-6 - CORE,1,ESTRADO 6
A  69526015000080,CAMBIO G 85-6 REMANUFATURADO,1,ESTRADO 1
A  6952620035,CONE SINCRONIZADO 5./6.MARCHA,2,06F12
A  6952950006,LU CILINDRO DA EMBREAGEM,2,21F15
A  6953007230,CABO BOWDEN    ACO+PLASTICO,1,17A02
A  6953237100,LU AMORTECEDOR,1,08B03
A  6953560615,ANEL MEDICAO ABS 185MM,1,06B05
A  6953920080,JUNTA DE PAPEL,4,21C19
A  69542310100097,JOGO DE LONAS DE FREIO - FASE DE REPARACAO 1,1,12D06
A  6954231510,JG.LONAS FREIO C/REBITE-NAO MONTADADA,5,ESTRADO 5
A  6954231610,JG.LONAS DO FREIO C/REBITE-NAO MONTADA,8,ESTRADO 6
A  69542316100097,JOGO DE LONAS DE FREIO,5,ESTRADO 5
A  6954231710,JG.LONAS DO FREIO C/REBITE-NAO MONTADA,12,13B02
A  69542319100097,JOGO DE LONAS DE FREIO,1,ESTRADO 5
A  6954232010,JG.LONAS DO FREIO C/REBITE-NAO MONTADA,7,ESTRADO 6
A  6954700090,LU FILTRO DE COMBUSTIVEL RACOR,3,27E05
A  6954760501,ENCANAMENTO DE ADITIVO ARLA32,1,20F18
A  6954900740,SUPORTE DO ESCAPAMENTO NO CAMBIO,1,21G07
A  6955017482,MANGUEIRA PRE-FORMADA,1,30
A  6955280006,ELEMENTRO FILTRO DE AR,4,ESTRADO 6
A  6955401545,CHAVE SELETORA,1,06B02
A  6955407108,JOGO DE CABOS COBRE+ACO+PLAST,1,20B05
A  6959970190,LU ABRACADEIRA,1,21G17
A  6965000049,LU TANQUE DE COMPENSACAO,2,ESTRADO 5
A  69650002750097,MANGUEIRA DE INTERCOOLER PRETA,7,12A05
A  69650003750097,MANGUEIRA DE INTERCOOLER VERMELHA,3,11E11
A  6965420317,MEDIDOR DE COMBUSTIVEL,1,08C02
A  69662070040040,CJ REVESTIMENTO ESTRUT SUPERIOR COMPLETO,1,ESTRADO 0
A  6968200121,CJ PISCA-PISCA ESQ,2,16A17
A  6969977082,MANGUEIRA DE PVC,1,03B12
A  70042051200097,JOGO DE PASTILHAS DE FREIO COM SENSOR,7,11C11
A  70042103000097,JOGO DE PASTILHAS DE FREIO COM SENSOR,10,11B13
A  70042104000097,JOGO DE PASTILHAS DE FREIO COM SENSOR,14,11C01
A  70042356000097,JG PASTILHA DE FREIO TRASEIRA,1,11B11
A  7152600058,JOGO DE PECAS EXAUSTOR,1,04B16
A  7152600418,EMBOLO DA TAMPA DA ARVORE PRIMARIA,1,03D04
A  7152602321,LU TAMPA ARV.PRIMARIA MONODISC.-SECO,2,14C05
A  7152610480,VEDACAO DE TAMPA DA BOMBA DE OLEO,1,04G04
A  7152620191,JOGO DE PECAS GUARNICACAO DE FRICCAO,1,09F01
A  7152620435,CORPO SINCRONIZADOR,1,04I14
A  7152621410,RODA MOTORA,1,03C04
A  7152621605,ARVORE PRINCIPAL,1,ESTRADO 4
A  7152623325,SUPORTE DE ACO,1,04B10
A  7152630512,ENGRENAGEM INTERMEDIARIA,1,12B03
A  7152630831,ENGRENAGEM DA MARCHA-A-RE,1,03C10
A  7152631010,ENGRENAGEM INTERMEDIARIA DUPLA,1,12B02
A  7152670080,VEDACAO PERFIL,1,04G17
A  7152693106,RODA MOTORA DA BOMBA DE OLEO,1,04E15
A  7162600693,CJ PENEIRA DO OLEO,2,06A06
A  9008350600,ELEMENTO DO FILTRO,2,28E08
A  9013202130,AMORTECEDOR,1,17H01
A  9017601347,GUIA DA PORTA DESLIZANTE,2,18A02
A  9040100866,LU TUBO GUIA,1,19G14
A  9040902276,LU TUBULACAO DE COMBUSTIVEL,2,18E06
A  9040985807,TUBO DE AR QUENTE,2,30
A  9041410280,JUNTA DO COLETOR DE ADMISSAO,4,16E30
A  9041507533,CHICOTE DO MOTOR,1,13B06
A  9041800109,JOGO DE PECAS DO ELEMNTO FILTRO DE OLEO,16,29B06
A  9041800720,TUBO DE PRESSAO DE OLEO,2,16D28
A  9041871301,TUBO DE RETORNO DE OLEO,1,04G05
A  9041880480,JUNTA DO RADIADOR DE OLEO,2,23A05
A  90420025010030,CJ BOMBA D AGUA CORE,1,SL
A  9042004301,LU BOMBA D'AGUA,1,13C06
A  9049900412,PARAFUSO - ACO LIGA,8,16A30
A  9049970282,TUBO FLEXIVEL DE BORRACHA,4,21C06
A  9060102764,LU TUBO ENCHIMENTO OLEO-POLIAMIDA,1,30
A  9060103372,CJ VARETA MEDIDORA DE OLEO COMPL,1,07A01
A  9060107621,CJ CABECOTE COM VALVULAS,1,ESTRADO 5
A  9060160080,JUNTA DE BORRACHA,6,01E21
A  9060160580,VEDACAO,2,22E02
A  9060160769,PARAFUSO-ACO LIGA,1,15B11
A  9060161420,JUNTA METALOPLASTICA DO MOTOR,2,13B04
A  9060170260,ARRUELA DE VEDACAO DE COBRE,2,01B09
A  9060170488,CAPA PROTETORA,1,04C07
A  9060170860,"ANEL DE VEDACAO - METAL 0,15)",32,16F32
A  9060180082,MANGUEIRA DE BORRACHA,2,06A03
A  9060304860,JG. CASQUILHO DA BIELA - STD,1,19G06
A  9060320171,PARAFUSO - ACO LIGA,3,15G17
A  9060380171,PARAF DA BIELA,88,15G14
A  9060381250,BUCHA DA BIELA,16,03C02
A  9060500151,JOGO DE REPARO DO MANCAL DO EIXO COMANDO,1,16E27
A  9060500327,CJ VALVULA DE ESCAPE,2,03B01
A  9060505001,CJ ARVORE DE COMANDO DAS VALVULAS,1,ESTRADO 5
A  90605300080064,CAPA DA VALVULA,2,03B08
A  90605406050064,HASTE DE TUCHO,1,03H04
A  9060702433,TUBO DE PRESSAO,11,06C01
A  9060905176,LU TUBULACAO DE COMBUSTIVEL,2,30
A  9060910780,JUNTA DA BOMBA DE COMBUSTIVEL NO BLOCO,2,17A06
A  9060921210,VALVULA DE DESCARGA,3,21E23
A  9061306615,LU COMPRESSOR DE AR,1,13C07
A  9061410480,JUNTA METALICA,2,05A11
A  9061800109,JG. DE PCS DO ELEMENTO DO FILTRO DE OLEO,11,28A01
A  90618001090022,KIT DE PECAS REVISAO M,11,ESTRADO 6
A  9061800309,JOGO DE PECAS DO ELEMNTO FILTRO DE OLEO,23,28C09
A  9061800543,BICO INJETOR DE OLEO,12,20E15
A  9061801565,LU RADIADOR DE OLEO,2,22D14
A  9061840280,JUNTA DE BORRACHA,4,16G32
A  9062004470,LU POLIA (P/COMPRESSOR DE REFRIGERACAO),1,20H07
A  9062006770,LU TENSOR DE CORREIA,1,04D06
A  9062010080,JUNTA DE VEDACAO,6,19F02
A  9062030180,VEDACAO/JUNTA DE BORRACHA,2,16E19
A  90620304150098,TUBO BOMBA D'AGUA,47,12C01
A  9062037202,LU TUBULACAO P/ REFRIGERACAO DE AGUA,1,21B07
A  9062037602,TUBULACAO P/ REFRIGERACAO DE AGUA,2,18C07
A  9063201789,BARRA,2,21C09
A  9063201889,BARRA,1,20F15
A  9063230292,GUARNICAO,2,19H11
A  90632514440064,BATENTE ELASTOMERICO,1,19F05
A  9063262181,MANCAL DA BARRA,1,04G19
A  9063304007,BRACO TENSOR TRANSVERSAL,1,ESTRADO 5
A  9063304107,BRACO TENSOR TRANSVERSAL,1,14E04
A  90635039107000,SEMIEIXO,1,ESTRADO 5
A  9064103900,JOGO DE PECAS MANCA,1,21A03
A  9064104000,JG.PECAS MANCAL INT,1,17A01
A  9064200100,JOGO PECAS DA LONA FREIO,1,16C11
A  9064206885,CABO DO FREIO,1,30
A  9064600155,ARTICULACAO AXIAL,1,22F15
A  9064600348,EXTREMIDADE HASTE DIRECAO,2,16F24
A  9064601900,GUARNICAO,2,19A01
A  9065010015,TAMPA FECH. DO RADIADOR,5,22G11
A  9065010503,RESERVATORIO,2,14E07
A  9065283782,TUBO FLEXIVEL DO AR,1,18C06
A  9065285082,TUBO FLEXIVEL DO AR,1,18A08
A  9065401517,SENSOR DE DESGASTE LONA,7,20D09
A  9065451913,PAINEL DE CONTROLE,1,06A07
A  9066700200,PARA-BRISA,1,ESTRADO 0
A  90668006000097,TAPETE NOVA SPRINTER BORDADO BRANCO ATP,1,30
A  9066841777,REV. CAIXA DA RODA,1,30
A  9066971498,VEDACAO,1,30
A  9067200004,OLHAL DE FECHAMENTO,1,16G15
A  9067301900,FECHADURA DA PORTA,1,27A05
A  9067470130,VEDACAO,1,07C02
A  90682039610064,FAROL,1,SL
A  9068300318,FILTRO DE CARVAO ATIVADO,2,28E07
A  9068351500,PACOTE DE FILTROS,13,ESTRADO 2
A  9068850163,"GUIA LATERAL, PARA-CHOQUE",1,SL
A  9069053501,SENSOR DE ROTACAO,1,16C29
A  9069053601,SENSOR DE ROTACAO,1,16B22
A  9069811725,ROLAMENTO DE ESFERAS COM RANHURAS,2,04D01
A  90698301850064,PELICULA DE PROTECAO,1,30
A  9069900040,ARRUELA,12,01C01
A  9069920325,LUVA DE AJUSTE,3,16C15
A  9069933596,CORREA TRAPEZOIDAL DENTADA 8 PK LN1802MM,1,18H03
A  9069970272,CONEXAO,2,03E17
A  9069970382,MANGUEIRA,1,16A14
A  9069971145,ANEL - O  - BORRACHA,32,07A06
A  9073201102,PERNA DO AMORTECEDOR,2,ESTRADO 5
A  9073203801,BARRA ESTABILIZADORA,1,30
A  9073230400,MANCAL DE APOIO,2,16B03
A  9074239400,SUPORTE DO FREIO,1,05H06
A  9074239700,PASTILHA DO FREIO A DISCO,1,23C11
A  90746063000065,JOGO REPARO ARTICULACAO,4,18D08
A  9075280000,FILTRO SILENCIOSO,1,ESTRADO 4
A  9075283500,FILTRO DE AR,9,17D01
A  9075840414,MANUAL ADICIONAL,1,03A01
A  9077200000,FECHADURA DA PORTA,1,27A04
A  9077250300,VEDACAO GIRATORIA,1,30
A  9079057103,SENSOR DE DESGASTE LONA,2,06C08
A  9106169800,VEDACAO GIRATORIA,1,30
A  9108301100,FILTRO DE POEIRA,16,27E02
A  9109880015,PRESILHA DE FIXACAO,1,03D08
A  9109920003,BUCHA DO MANCAL,1,03E07
A  9260101366,CONJ. TUBO GUIA DA VARETA MEDIDORA,1,03B07
A  92601028500080,MOTOR RENOV COMP.PLUS OM926 E5,1,ESTRADO 1
A  9260105072,CJ VARETA INDICADORA NIVEL OLEO,1,03C07
A  9260140222,VEDACAO DO CARTER DE OLEO,1,ESTRADO 4
A  9260170024,LU CONEXAO,3,19D03
A  9260300060,JOGO DE PECAS - CASQUILHO DE BIELA STD,1,07A04
A  9260300305,CJ VOLANTE DO MOTOR / SAE 1,1,ESTRADO 5
A  9260302418,CJ PISTAO COM ANEIS,1,17D02
A  9260305424,CJ ANEL DO PISTAO,6,05C05
A  9261420080,JUNTA DO COLETOR DE ESCAPE,7,03F17
A  9302600263,CJ CILINDRO DE VELOCIDADES ENGR,3,18F01
A  9302604161,CJ SUPORTE PLANETARIA,2,ESTRADO 5
A  9302620125,SUPORTE DAS ENGRENAGENS PLANETARIAS,4,13B07
A  9302620234,ANEL SINCRONIZADOR,1,06C13
A  9302630031,ENGRENAGEM DA MARCHA-RE,1,03A08
A  9302650245,CHAPA SELETORA DE MARCHAS,2,02F01
A  93026503450064,PLACA DE GUIA ACO,1,21B15
A  9303170012,LU-COXIM DE BORRACHA (METAL BORRACHA),2,16D07
A  9304300287,JG.VEDACAO P/ VALV.PROPORCIONAL-BORRACHA,1,03F04
A  93050008720064,CJ MANGUEIRA DE AQUECIMENTO,1,23H02
A  9305010582,MANG.DO LIQUIDO ARREFECIMENTO,1,30
A  9305010682,MANGUEIRA DO LIQUIDO DE ARREFECIMENTO,1,18G07
A  9305060535,MANG.CALEFACAO(ELASTO.C/CAMADAS TECIDO),1,19E14
A  9305280209,LU TUBO DE ENCHIMENTO DO OLEO (TERMOPLAS,1,13E06
A  9305402710,CHICOTE ELETRICO DA CAIXA DE MUDANCA,1,13D02
A  9308350147,ELEMENTO FILTRO DO AR CONDICIONADO,6,17D07
A  9309970271,CONEXAO CONDUTO DE ALTA PRESSAO,3,06B03
A  9329970272,CONEXAO L15 DIN 3902 DBL 8451.21,2,07B09
A  9342604085,LU TUBULACAO DO OLEO,1,30
A  9342604185,LU TUBULACAO DO OLEO - NYLON,1,30
A  93435001350098,APOIO DO PRISIONEIRO DO CUBO HL6,75,11C03
A  9344750024,PINO DA CINTA TENSORA (ACO),9,07A03
A  9349970152,TUBO DE BORRACHA,6,07C03
A  9361421780,JUNTA COLETOR / TURBO 6 CYL,1,16D10
A  9402400817,COXIM DIANTEIRO DO MOTOR,1,07H09
A  9402900118,PEDAL DO FREIO,4,13D06
A  9402900216,CJ PEDAL DA EMBREAGEM,1,28B08
A  9405000272,CJ TUBULACAO,4,30
A  94050100030064,CJ. TANQUE DE COMPENSACAO,1,SL
A  9405011282,MANGUEIRA BORRACHA,1,17D04
A  9405011882,MANGUEIRA DE BORRACHA,3,18C04
A  9405012282,MANGUEIRA DE BORRACHA,1,20E06
A  9405012382,MANGUEIRA DE BORRACHA,2,04I01
A  9405012882,MANGUEIRA PRE-FORMADA,1,04I19
A  9405061735,MANGUEIRA,7,06D12
A  9405061835,MANGUEIRA,2,18D10
A  9405063035,MANGUEIRA DE BORRACHA,3,18F05
A  9405063635,MANGUEIRA DE BORACHA,1,17C04
A  9405281982,MANGUEIRA DE ASPIRACAO DE AR (BORRACHA),1,ESTRADO 4
A  9406830508,COBERTURA DO ASSOALHO,1,30
A  9406982062,BARRA DEFLETORA DIR / ND,1,13B05
A  9408200821,CJ LANTERNA DO PISCA-PISCA ESQ,2,22C09
A  9408200921,CJ LANTERNA DO PISCA-PISCA DIR.,1,17D09
A  9408201461,CJ FAROL DIR,1,ESTRADO 4
A  94082600130064,SUPORTE PLASTICO E COBRE DO FAROL DA CAB,4,05C03
A  94082601130064,SUPORTE FAROL INFERIOR,1,03G10
A  94083500470097,FILTRO DE CABINE,2,12C04
A  9408350447,FILTRO DE AR,25,29C03
A  9408904919,AMORTECEDOR DE VIBRACOES DA CABINA,1,18B07
A  9412418213,COXIM DIANTEIRO,2,22D09
A  9412683278,SUPORTE DO TRAMBULADOR,2,18C08
A  9413310725,"GRAMPO DE MOLA M20X1,5X207MM",1,15I18
A  9413310925,GRAMPO FIX.PLACA TENSAO FEIXE MOLA DIANT,1,15C32
A  9413310926,PLACA FIXACAO DO FEIXE DE MOLAS DIANT.,3,21F03
A  9414751620,CALCO DE BORRACHA,2,SL
A  9414900042,ABRACADEIRA,1,20H18
A  9415010382,MANGUEIRA DE ENTRADA DO RADIADOR,1,18C01
A  9415220167,ABRACADEIRA DE BORRACHA,1,20C13
A  9416970198,VEDACAO DE BORRACHA DA PORTA,1,30
A  9416981801,CALHA DE AGUA DA CHUVA - DIREITA,1,30
A  94176004590064,CJ MACANETA DA PORTA ESQ,1,22C13
A  9418103716,CJ ESPELHO DE RAMPA,2,07H01
A  9418200521,PISCA PISCA,2,23H21
A  9418303344,CJ CANAL DE AR,1,ESTRADO 0
A  9419950001,ABRACADEIRA DE METAL,2,22G04
A  9423302003,LU BARRA DA DIRECAO,1,30
A  9423510188,CHAPA DE PROTECAO DE ACO,1,21F04
A  94235301340064,GARFO DE MUDANCAS,1,21B25
A  9423530180,JUNTA DE ACO,1,03E11
A  9425011001,RADIADOR DE AR,1,ESTRADO 0
A  9425011682,MANGUEIRA DE SAIDA DO RADIADOR,2,20C03
A  9425063135,MANGUEIRA,2,20C02
A  9425280809,TUBO DE ENCHIMENTO DE OLEO,1,17G02
A  9425420217,SONDA ( PLASTICO ),2,16B05
A  9425530076,ARRUELA,2,02C05
A  94298102050064,ROLAMENTO DE ROLOS CONICOS,7,16I32
A  9429900182,DISCO DE REGULAGEM,1,01C06
A  9429940101,CHAPA ACO FREIO - CAMINHAO,28,20A19
A  9429970272,CONEXAO DO ENCANAMENTO DE OLEO,1,03C08
A  9433300856,TAMPA DE VEDACAO -PINO PONTA DE EIXO,1,04E13
A  9433300956,JOGO TAMPA DE FECHAMENTO,3,05G04
A  9433340080,JUNTA,14,03A09
A  9433340180,JUNTA DE BORRACHA/CORTICA,4,23C16
A  9433340301,JG.REPARO CUBO DA RODA-ANEL VEDAC/PARAF.,1,03D05
A  94342103120097,DISCO DE FREIO,3,ESTRADO 0
A  9436100600,ZB SUPORTE,1,21A07
A  9437501602,CJ TAMPA DO PORTA-OBJETOS DIR,1,14D03
A  9438172714,EMBLEMA DO TIPO / 5,1,SL
A  9438205661,FAROL DINAT ACTR ESQ CD,1,27A03
A  9438205761,FAROL DIANT ACTR  DIR CD,1,13E04
A  9438301515,LU TUBO DO AGENTE DE REFRIGERACAO,1,21D10
A  9438850626,PORTINHOLA DA PLACA DE LICENCA,1,30
A  9438904619,AMORTECEDOR EXTERNO,1,17D05
A  9438905019,AMORTECEDOR CABINA,2,04E19
A  9439970152,MANGUEIRA REFRIGERADOR OLEO CAIXA MUDAN.,2,18C11
A  9439972182,MANGUEIRA (BORRACHA),12,04C03
A  94399721820064,MANGUEIRA (BORRACHA),4,07F04
A  9442607049,CONDUTORA PLAST.MODULO ELETRONICO BASICO,2,30
A  9443340015,ANEL MEDICAO ABS 202MM,1,16F05
A  9452600850,CJ CONE SINCRONIZADOR,1,06G13
A  9452603963,CILINDRO DE COMANDO DO CAMBIO,1,14B07
A  9452608812,CJ CARCACA DO CAMBIO DIANT,1,SL
A  9452620909,ENGRENAGEM SOLAR,2,06I01
A  9452621208,ENGRENAGEM INTERNA,1,08A05
A  9452623513,ENGRENAGEM DA 3A. MARCHA,1,16A12
A  9452623834,ANEL SINCRONIZADOR,1,23A11
A  9452624410,ENGRENAGEM CONSTANTE N? 1,1,06E05
A  9452625534,ANEL SINCRONIZADOR 1./2.MARCHA,1,06A12
A  9452626523,LUVA DE ENGATE,5,07F02
A  9452626923,LUVA DE ENGATE,3,28A09
A  9452628234,ANEL SINCRONIZADOR / 1.+2.GANG,1,06C10
A  9452629817,ENGRENAGEM HELICOIDAL / 1.CONSTANTE,1,18H01
A  9452680046,SEGMENTO DE MUDANCAS,1,03A05
A  9452680474,PINO TRAVA,29,06B11
A  9453280063,ARTICULACAO ROSCA A DIREITA,1,16B17
A  9453280163,ARTICULACAO ROSCA A ESQUERDA,2,16D27
A  9455422518,TS SENSOR DE AVANCO,1,16D04
A  9459900250,PORCA -MEDIO CARBONO,5,06C06
A  9459930010,MOLA DE RETROCESSO,3,21D21
A  9459934701,MOLA DE PRESSAO - ACO,7,06F09
A  9462603861,CJ SUPORTE PLANETARIA,1,ESTRADO 5
